id	x	y	tag
42120771	154	197	0
42120772	156	179	0
42120773	174	171	0
42120774	174	189	0
42120775	175	205	0
42120776	191	178	0
42120777	178	220	0
42120778	182	235	0
42120779	165	236	0
42120780	159	214	0
42120781	146	229	0
42120782	140	209	0
42120783	139	185	0
42120784	142	163	0
42120785	126	172	0
42120786	116	188	0
42120787	120	207	0
42120788	105	204	0
42120789	112	216	0
42120790	117	237	0
42120791	122	256	0
42120792	137	268	0
42120793	142	248	0
42120794	130	224	0
42120795	156	263	0
42120796	167	252	0
42120797	171	273	0
42120798	181	262	0
42120799	183	282	0
42120800	170	296	0
42120801	157	282	0
42120802	132	289	0
42120803	137	307	0
42120804	135	324	0
42120805	144	340	0
42120806	150	321	0
42120807	154	305	0
42120808	115	281	0
42120809	118	302	0
42120810	119	316	0
42120811	121	337	0
42120812	139	352	0
42120813	121	355	0
42120814	128	372	0
42120815	150	371	0
42120816	158	352	0
42120817	164	337	0
42120818	168	315	0
42120819	181	332	0
42120820	188	299	0
42120821	203	314	0
42120822	186	316	0
42120823	200	327	0
42120824	200	345	0
42120825	179	353	0
42120826	189	366	0
42120827	167	377	0
42120828	161	401	0
42120829	151	387	0
42120830	142	410	0
42120831	127	392	0
42120832	112	378	0
42120833	100	384	0
42120834	107	397	0
42120835	93	402	0
42120836	102	419	0
42120837	124	417	0
42120838	136	430	0
42120839	152	424	0
42120840	172	423	0
42120841	192	419	0
42120842	200	444	0
42120843	179	439	0
42120844	163	440	0
42120845	146	443	0
42120846	129	442	0
42120847	137	458	0
42120848	153	456	0
42120849	173	454	0
42120850	192	457	0
42120851	210	463	0
42120852	222	447	0
42120853	215	427	0
42120854	209	403	0
42120855	193	397	0
42120856	178	401	0
42120857	182	387	0
42120858	206	384	0
42120859	215	363	0
42120860	215	330	0
42120861	224	314	0
42120862	214	296	0
42120863	214	278	0
42120864	197	274	0
42120865	199	259	0
42120866	218	261	0
42120867	218	240	0
42120868	201	236	0
42120869	207	227	0
42120870	195	204	0
42120871	213	203	0
42120872	219	175	0
42120873	208	182	0
42120874	202	160	0
42120875	172	140	0
42120876	147	148	0
42120877	126	150	0
42120878	105	156	0
42120879	89	164	0
42120880	105	172	0
42120881	89	187	0
42120882	89	202	0
42120883	93	216	0
42120884	98	233	0
42120885	103	253	0
42120886	101	274	0
42120887	103	293	0
42120888	104	307	0
42120889	103	330	0
42120890	101	347	0
42120891	100	367	0
42120892	83	373	0
42120893	82	355	0
42120894	86	337	0
42120895	87	323	0
42120896	81	306	0
42120897	84	281	0
42120898	87	260	0
42120899	89	246	0
42120900	79	234	0
42120901	72	211	0
42120902	75	321	0
42120903	65	342	0
42120904	65	359	0
42120905	65	382	0
42120906	80	391	0
42120907	70	403	0
42120908	78	415	0
42120909	90	432	0
42120910	104	450	0
42120911	108	466	0
42120912	115	441	0
42120913	121	453	0
42120914	129	471	0
42120915	93	466	0
42120916	84	451	0
42120917	69	429	0
42120918	66	451	0
42120919	76	468	0
42120920	64	470	0
42120921	51	454	0
42120922	47	430	0
42120923	61	417	0
42120924	50	397	0
42120925	34	411	0
42120926	51	377	0
42120927	39	386	0
42120928	44	352	0
42120929	47	335	0
42120930	56	322	0
42120931	45	318	0
42120932	59	309	0
42120933	50	296	0
42120934	62	292	0
42120935	67	274	0
42120936	51	279	0
42120937	66	256	0
42120938	54	259	0
42120939	40	250	0
42120940	112	137	0
42120941	136	132	0
42120942	157	119	0
42120943	178	119	0
42120944	143	108	0
42120945	130	117	0
42120946	189	101	0
42120947	156	136	0
42120948	209	145	0
42120949	192	133	0
42120950	175	157	0
42120951	208	124	0
42120952	192	118	0
42120953	207	106	0
42120954	224	101	0
42120955	231	120	0
42120956	163	470	0
42120957	147	470	0
