id	x	y	tag
42129444	241	97	0
42129445	237	124	0
42129446	214	106	0
42129447	235	167	0
42129448	220	146	0
42129449	206	342	0
42129450	194	144	0
42129451	197	237	0
42129452	204	318	0
42129453	189	296	0
42129454	202	279	0
42129455	174	268	0
42129456	191	256	0
42129457	206	262	0
42129458	217	251	0
42129459	232	210	0
42129460	235	186	0
42129461	238	247	0
42129462	248	270	0
42129463	186	173	0
42129464	210	197	0
42129465	252	402	0
42129466	211	215	0
42129467	230	391	0
42129468	237	371	0
42129469	214	372	0
42129470	229	348	0
42129471	229	325	0
42129472	173	321	0
42129473	223	311	0
42129474	244	292	0
42129475	251	327	0
42129476	248	305	0
42129477	199	50	0
42129478	247	25	0
42129479	244	47	0
42129480	237	77	0
42129481	248	172	0
42129482	254	212	0
42129483	237	233	0
42129484	247	146	0
42129485	227	27	0
42129486	251	83	0
42129487	253	115	0
42129488	167	43	0
42129489	188	22	0
42129490	144	146	0
42129491	155	170	0
42129492	213	432	0
42129493	171	117	0
42129494	208	408	0
42129495	230	408	0
42129496	217	455	0
42129497	245	450	0
42129498	186	199	0
42129499	186	95	0
42129500	160	12	0
42129501	162	363	0
42129502	187	380	0
42129503	208	389	0
42129504	181	59	0
42129506	151	59	0
42129507	212	86	0
42129508	197	72	0
42129509	232	58	0
42129510	234	13	0
42129511	158	35	0
42129512	152	80	0
42129513	173	155	0
42129514	198	119	0
42129515	256	249	0
42129516	253	362	0
42129517	163	295	0
42129518	178	132	0
42129519	171	243	0
42129520	146	94	0
42129521	186	222	0
42129522	165	392	0
42129523	221	273	0
42129524	216	292	0
42129525	215	168	0
42129526	207	10	0
42129527	182	406	0
42129528	177	82	0
42129529	241	433	0
42129530	188	357	0
42129543	215	126	0
42129544	183	338	0
42129545	194	159	0
42129546	250	198	0
42129547	202	361	0
